game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,YGRW,0B2W,LLM,312,ROGB,0B3W,VOI,32,OWBR,2B0W,VOI,3,GBBR,3B0W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,GBGR,0B3W,LLM,44,BRBG,1B2W,VOI,6,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,BYRY,2B1W,LLM,40,BYOR,2B0W,VOI,4,BYYG,3B0W,VOI,2,BYYB,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,GYBO,0B3W,LLM,136,BROY,2B0W,VOI,14,BWOG,1B2W,VOI,2,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,WBYW,0B1W,LLM,276,GRBR,1B2W,VOI,27,RGBO,0B4W,VOI,4,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,YRWG,1B2W,LLM,132,BGWY,3B0W,VOI,4,OGWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,GWRY,1B1W,LLM,252,BWOG,2B0W,VOI,19,BROY,1B1W,VOI,14,BWBR,1B1W,VOI,3,RWOO,3B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,WGRR,True,5,WGRY,3B0W,LLM,20,WGOY,2B0W,VOI,12,BGRY,2B0W,VOI,6,WGRG,3B0W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,ROGB,2B0W,LLM,96,RYRB,1B0W,VOI,26,WBGB,0B1W,VOI,3,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,GWOB,0B1W,LLM,152,WRRY,2B0W,VOI,20,YGRY,1B1W,VOI,4,BRBY,1B0W,VOI,3,WYWY,3B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,
11,ORRR,True,4,GWOB,0B1W,LLM,152,WYYR,1B0W,VOI,14,RRGR,2B1W,VOI,4,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGBO,2B1W,LLM,48,WRBO,0B3W,VOI,2,RGWB,2B1W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,3,GWBB,0B1W,LLM,276,OROG,2B1W,VOI,15,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,YORG,0B2W,LLM,312,RWOW,3B0W,VOI,8,RWOO,2B0W,VOI,3,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,3,GWGO,0B0W,LLM,81,BYYB,1B2W,VOI,12,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,YBRY,0B1W,LLM,276,RWOO,0B0W,VOI,9,GGGB,3B0W,VOI,2,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,6,WYBG,0B1W,LLM,152,RWOO,1B1W,VOI,33,ROYR,1B0W,VOI,4,GOGO,1B1W,VOI,2,BOOB,3B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,
18,WOGB,True,5,YOOR,1B0W,LLM,182,WGRR,1B1W,VOI,25,BWBR,0B2W,VOI,3,WBOG,1B3W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,GBRR,1B2W,LLM,84,BGRY,1B2W,VOI,10,BOGR,1B1W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,4,YOYO,0B1W,LLM,256,RGBY,2B0W,VOI,18,RGOG,1B0W,VOI,5,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,4,YOBY,0B0W,LLM,81,RWWG,1B2W,VOI,18,WGRG,0B3W,VOI,3,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,BYGY,0B2W,LLM,222,RGBO,0B1W,VOI,14,WBYB,0B2W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,3,YYGB,0B3W,LLM,44,RGBY,0B4W,VOI,2,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,ORYO,2B0W,LLM,105,BRYG,2B0W,VOI,21,YRYR,1B0W,VOI,8,BRWO,0B1W,VOI,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
