game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,CRANE,-----,5,5,LLM,BOILS,-Y---,5,5,VOI,OUGHT,Y--YY,5.0,5.0,VOI,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,540,90.4068218155978,540,7,98.70370370370372,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,VOI,TARDY,YGG-G,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,227,95.96731213359388,227,34,85.02202643171806,34.0,1.0,97.05882352941175,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,3,CRANE,YG---,4,4,LLM,BRICS,-GGG-,2,2,VOI,TRICK,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,3,62.5,3.0,1.0,66.66666666666666,,,,,,,,,,0
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,VOI,BIRTH,-GGG-,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,194,96.55356191152958,194,6,96.90721649484536,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,5,CRANE,--Y--,5,5,LLM,MALIA,-YY--,5,5,VOI,ALOFT,YY---,5.0,5.0,VOI,LUKAS,YY-GY,4.0,4.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,448,92.04121513590336,448,26,94.19642857142856,26.0,3.0,88.46153846153845,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
6,TRULY,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,VOI,FRITZ,-G-Y-,4.0,4.0,VOI,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,93,98.34784153490853,93,6,93.5483870967742,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,,,,0
7,SPENT,True,3,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,VOI,SPENT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,41,99.27162906377689,41,3,92.6829268292683,3.0,1.0,66.66666666666666,,,,,,,,,,0
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,VOI,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,78,98.61431870669746,78,1,98.71794871794872,1.0,1.0,0.0,,,,,,,,,,0
9,CRAZY,True,5,CRANE,GGG--,2,2,LLM,CRABS,GGG--,2,2,VOI,CRAIG,GGG--,2.0,2.0,VOI,CRAWL,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,11,99.80458340735476,11,6,45.45454545454545,6.0,5.0,16.666666666666664,5.0,4.0,20.0,4.0,1.0,75.0,,,,0
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,TALES,-G-GG,2,2,VOI,GAMES,-G-GG,2.0,2.0,VOI,SAVES,YG-GG,2.0,2.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,215,96.18049387102504,215,34,84.18604651162791,34.0,21.0,38.23529411764706,21.0,2.0,90.47619047619048,2.0,1.0,50.0,,,,0
