game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,PHONY,GGG--,2,2,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,1,97.67441860465117,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,5,HOUSE,-----,5,5,LLM,LINDA,----Y,5,5,CSS_TRUE_REPAIR,KARAT,-GG-Y,3.0,3.0,LLM,MARTY,-GGGG,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,5629,694,87.67098951856458,694,65,90.63400576368876,65.0,2.0,96.92307692307692,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
3,TRICK,True,5,HOUSE,-----,5,5,LLM,FAIRY,--GY-,4,4,CSS_TRUE_REPAIR,PRICK,-GGGG,1.0,1.0,LLM,CRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,694,87.67098951856458,694,19,97.26224783861672,19.0,3.0,84.21052631578947,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,MARLA,--G--,4,4,CSS_TRUE_REPAIR,BIRDY,-GGYG,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,694,87.67098951856458,694,4,99.42363112391932,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,SLUMP,YYG--,4,4,LLM,GAULS,-YGYY,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,5629,47,99.1650381950613,47,2,95.74468085106383,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,TRUNK,GGG--,2,2,LLM,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,50,99.1117427607035,50,3,94.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,0
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,AIRES,---YY,5,5,CSS_TRUE_REPAIR,SPELL,GGG--,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,463,91.7747379641144,463,17,96.32829373650108,17.0,3.0,82.35294117647058,3.0,1.0,66.66666666666666,,,,,,,0
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,,,,,,,,,,,,,0
9,CRAZY,True,3,HOUSE,-----,5,5,LLM,NAZIR,-YY-Y,5,4,CSS_TRUE_REPAIR,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,1,99.85590778097982,1.0,1.0,0.0,,,,,,,,,,0
10,BASES,True,4,HOUSE,---YY,5,4,LLM,TASER,-GGG-,2,2,CSS_TRUE_REPAIR,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,463,91.7747379641144,463,12,97.40820734341251,12.0,4.0,66.66666666666666,4.0,1.0,75.0,,,,,,,0
